2.297857929442641833e-01;1.647136656987107095e-01;1.656975518829192362e-01;5.751139326163221543e-01;6.125378321764545220e-01;2.404077777871679089e+00;2.060138766917969821e+00;1.691072830809030814e+00;1.758042379865260463e+00;1.754228996273472507e+00
2.297910536224958000e-01;1.647171698192883005e-01;1.657010518759830797e-01;5.751073248353533174e-01;6.125394576240400513e-01;2.404068187810455282e+00;2.060131526011632186e+00;1.691068110678235925e+00;1.758037202322428882e+00;1.754223844776621410e+00
2.080560964236138899e-01;1.123935416797211123e-01;1.132950351887871410e-01;8.106518457513627318e-01;5.545978771432671373e-01;2.443690373595108767e+00;2.090047970700336766e+00;1.710569748354282327e+00;1.779428678265585262e+00;1.775507709449573701e+00
2.092599034544793679e-01;1.137427621110448650e-01;1.146428852904453760e-01;7.993673096262203792e-01;5.573737594076492163e-01;2.441495868890573018e+00;2.088391025801608514e+00;1.709489635413041775e+00;1.778243895203657665e+00;1.774328886519174198e+00
2.062587977237174963e-01;1.103791389848403082e-01;1.112826784129474361e-01;8.265988533320828280e-01;5.506750738465805428e-01;2.446966796104073971e+00;2.092521809809037681e+00;1.712182370257343100e+00;1.781197573945926482e+00;1.777267706580252904e+00
5.722628356655636850e-01;2.562627183955380472e-01;2.571679467244614714e-01;9.150092965806602141e-01;5.289269949997161824e-01;2.489751698617572728e+00;2.124826240879886363e+00;1.733240665005594927e+00;1.804296557374606369e+00;1.800250489006543608e+00
4.382355933742505538e-01;3.934154672352393467e-01;3.941299649072754763e-01;1.438469775356190639e-01;7.186251607601527036e-01;2.372908817467992648e+00;2.036604868889495545e+00;1.675731784864837426e+00;1.741214684637328425e+00;1.737485953907404346e+00
4.382461820271794095e-01;3.934269006991856221e-01;3.941413849037115336e-01;1.438254172542876297e-01;7.186304643722728480e-01;2.372897331928395914e+00;2.036596196815926962e+00;1.675726131798826568e+00;1.741208483751660374e+00;1.737479784215711698e+00
6.035145728476893900e-01;4.015555540941151969e-01;4.022839414953117143e-01;1.335798272188377933e-01;7.211507763595922382e-01;2.415236090286891457e+00;2.068563769970635846e+00;1.696564838922371088e+00;1.764066600055775424e+00;1.760222911215840069e+00
5.093782615002773184e-01;4.702342218517344130e-01;4.708582344909721384e-01;1.011480832300896754e-03;7.542588829592712374e-01;2.369895078587996196e+00;2.034329367154189327e+00;1.674248453177703100e+00;1.739587608253890583e+00;1.735867062642039160e+00
